Ticker,Weightage,2023-01-01,2023-01-02
ADANIPORTS,0.0082,0,84708.62534724655
APOLLOHOSP,0.0061,0,11632.941719548427
ASIANPAINT,0.0195,0,54358.89140290425
AXISBANK,0.0257,0,231851.9485842693
BAJAJFINSV,0.012,0,65658.91513043479
BAJFINANCE,0.0237,0,30718.679357085635
BHARTIARTL,0.0233,0,243300.1794449908
BPCL,0.0046,0,234088.72938516035
BRITANNIA,0.0052,0,10291.354253466227
CIPLA,0.0068,0,53936.6293660997
COALINDIA,0.0051,0,192758.94522580647
DIVISLAB,0.0077,0,19393.827527442358
DRREDDY,0.0067,0,67193.973761005
EICHERMOT,0.0049,0,12891.16783114635
GRASIM,0.0085,0,41871.072744241574
HCLTECH,0.0153,0,125035.09059957576
HDFCBANK,0.081,0,422462.3407460207
HDFCLIFE,0.0072,0,107244.04831339899
HEROMOTOCO,0.0043,0,13449.271525794551
HINDALCO,0.0094,0,163945.07784474426
HINDUNILVR,0.0267,0,88651.66507539446
ICICIBANK,0.069,0,649486.3095758217
INDUSINDBK,0.0085,0,58877.391992446144
INFY,0.0766,0,426960.66686811025
ITC,0.0303,0,773282.3982988097
JSWSTEEL,0.0094,0,102991.67989194203
KOTAKBANK,0.0351,0,163371.54012896854
LT,0.0274,0,111394.21963299953
MARUTI,0.0137,0,13848.883901724339
NESTLEIND,0.0087,0,37779.83419241774
NTPC,0.0099,0,500575.9478303572
ONGC,0.0078,0,440399.16301091114
POWERGRID,0.0104,0,547742.8006810402
RELIANCE,0.1286,0,918934.3163509468
SBILIFE,0.0065,0,44526.46406867162
SBIN,0.0254,0,352439.3959176107
SHREECEM,0.0046,0,1665.9886150133493
SUNPHARMA,0.0134,0,114170.44808726179
TATACONSUM,0.0066,0,73546.5132556534
TATAMOTORS,0.0105,0,225920.8087140891
TATASTEEL,0.0137,0,975902.0829056604
TCS,0.0491,0,127883.59581284894
TECHM,0.0105,0,88354.16792719168
TITAN,0.0137,0,45357.62384741304
ULTRACEMCO,0.0102,0,12346.218406746873
UPL,0.006,0,70592.42779778394
WIPRO,0.0101,0,436563.7263914185
